epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.915,0.53536,0.88787,1.10596,0.46485,0.78571,0.55165,0.38407,0.73799,1.67967,1.32834,0.000662192,0.000662192,0.000662192
2,81.6571,0.60974,0.7565,1.13985,0.02983,0.26786,0.01988,0.00755,2.62227,9.44401,2.95461,0.0013157,0.0013157,0.0013157
3,123.33,0.61331,0.70805,1.11839,0.85208,0.875,0.94122,0.75778,0.64335,0.66559,1.18627,0.00195601,0.00195601,0.00195601
4,162.439,0.57728,0.70777,1.10822,0.98169,0.95743,0.99163,0.85448,0.57378,0.52206,1.1481,0.0019406,0.0019406,0.0019406
5,201.862,0.5237,0.56657,1.07839,0.98213,0.98119,0.99413,0.91234,0.44973,0.4131,0.96941,0.0019208,0.0019208,0.0019208
6,242.046,0.48285,0.50215,1.0443,0.93327,0.99898,0.99072,0.90798,0.43542,0.44883,0.96804,0.001901,0.001901,0.001901
7,281.568,0.4721,0.46464,1.043,0.98209,0.97913,0.99413,0.91688,0.41332,0.36763,0.90912,0.0018812,0.0018812,0.0018812
8,321.271,0.47091,0.47015,1.03552,1,0.99742,0.995,0.92036,0.43418,0.35651,0.94058,0.0018614,0.0018614,0.0018614
9,361.123,0.42573,0.44173,1.01824,0.9485,0.98672,0.99378,0.90319,0.45397,0.35934,1.0578,0.0018416,0.0018416,0.0018416
10,400.439,0.41991,0.41053,1.01322,0.98092,1,0.99325,0.91744,0.41882,0.29333,0.8844,0.0018218,0.0018218,0.0018218
11,439.878,0.43038,0.41843,1.00933,0.99567,1,0.995,0.95378,0.34839,0.27942,0.85553,0.001802,0.001802,0.001802
12,479.297,0.4078,0.3876,1.00403,0.99886,1,0.995,0.95304,0.3514,0.25146,0.85242,0.0017822,0.0017822,0.0017822
13,519.965,0.40632,0.38626,0.99827,0.9579,1,0.99482,0.93327,0.35249,0.27292,0.8307,0.0017624,0.0017624,0.0017624
14,559.429,0.40282,0.3939,1.0032,0.98242,0.99794,0.99482,0.89415,0.47283,0.37258,0.98464,0.0017426,0.0017426,0.0017426
